Name,Year,Club,Goals,Assists,Shots,Minutes Played,Country,Club Position
Vieirinha,15/16,vfl-wolfsburg,1,1.0,4.0,477,Portugal,Sub
Yevhen Konoplyanka,15/16,shakhtar-donetsk,2,1.0,13.0,423,Ukraine,Sub
Coke,15/16,sevilla,0,1.0,2.0,492,Spain,Res
Robert Lewandowski,15/16,bayern-munchen,9,1.0,40.0,942,Poland,ST
Fernando,15/16,sevilla,0,2.0,4.0,779,Brazil,RDM
Fernando,15/16,sevilla,0,2.0,4.0,779,Brazil,Sub
Fernando,15/16,sevilla,0,2.0,4.0,779,Spain,Sub
Alan Dzagoev,15/16,cska-moscow,0,0.0,3.0,531,Russia,RDM
Nicolás Gaitán,15/16,atletico-madrid,4,3.0,16.0,701,Argentina,Sub
Eliaquim Mangala,15/16,valencia,0,0.0,1.0,613,France,LCB
Igor Smolnikov,15/16,fc-krasnodar,0,0.0,1.0,273,Russia,Sub
Luciano Narsingh,15/16,psv-eindhoven,1,0.0,2.0,438,Netherlands,Sub
Radja Nainggolan,15/16,inter,0,1.0,13.0,585,Belgium,LF
Nemanja Matić,15/16,manchester-united,0,0.0,2.0,377,Serbia,LCM
André Almeida,15/16,sl-benfica,0,1.0,2.0,655,Portugal,Sub
Maicon,15/16,galatasaray,1,0.0,3.0,270,Brazil,Sub
Daley Blind,15/16,ajax,0,1.0,0.0,477,Netherlands,LB
Taras Stepanenko,15/16,shakhtar-donetsk,0,1.0,4.0,410,Ukraine,LDM
Josuha Guilavogui,15/16,vfl-wolfsburg,0,0.0,5.0,689,France,Sub
Vasyl Kobin,15/16,shakhtar-donetsk,0,0.0,0.0,90,Ukraine,Sub
Ciro Immobile,15/16,lazio,0,0.0,1.0,70,Italy,ST
Stephan El Shaarawy,15/16,roma,0,0.0,2.0,138,Italy,Sub
Sven Kums,15/16,rsc-anderlecht,2,2.0,6.0,720,Belgium,Sub
Thomas Matton,15/16,kaa-gent,1,0.0,2.0,273,Belgium,Sub
Yoshimar Yotún,15/16,malmo-ff,0,0.0,1.0,303,Peru,Sub
Marcos Rojo,15/16,manchester-united,0,0.0,4.0,309,Argentina,Sub
Diego Perotti,15/16,roma,0,0.0,1.0,180,Argentina,Sub
Eduardo Salvio,15/16,sl-benfica,0,0.0,1.0,92,Argentina,RM
Semih Kaya,15/16,galatasaray,0,0.0,2.0,360,Turkey,Sub
Chris Smalling,15/16,manchester-united,1,0.0,3.0,540,England,LCB
Juan Cuadrado,15/16,juventus,1,0.0,9.0,468,Colombia,RM
Jonas,15/16,sl-benfica,2,2.0,17.0,726,Brazil,LS
Douglas Costa,15/16,bayern-munchen,2,3.0,17.0,927,Brazil,LM
Simone Zaza,15/16,juventus,1,0.0,2.0,30,Italy,ST
Anthony Lopes,15/16,olympique-lyonnais,0,0.0,0.0,540,Portugal,GK
Ervin Zukanović,15/16,roma,0,0.0,1.0,90,Bosnia Herzegovina,Sub
Sebastian Jung,15/16,vfl-wolfsburg,0,1.0,0.0,157,Germany,Sub
Artur Yusupov,15/16,zenit-st-petersburg,0,0.0,1.0,166,Russia,Sub
Nemanja Nikolić,15/16,bate-borisov,0,1.0,1.0,267,Hungary,CAM
Alexandre Lacazette,15/16,olympique-lyonnais,2,0.0,14.0,501,France,ST
Nikola Đurđić,15/16,malmo-ff,0,0.0,6.0,447,Serbia,Sub
Luka Milivojević,15/16,olympiacos,0,0.0,3.0,360,Serbia,CDM
Anton Tinnerholm,15/16,malmo-ff,0,0.0,1.0,540,Sweden,RB
Wojciech Szczęsny,15/16,juventus,0,0.0,0.0,680,Poland,GK
Laurent Koscielny,15/16,arsenal,0,0.0,1.0,597,France,LCB
Bakary Koné,15/16,olympique-lyonnais,0,0.0,0.0,13,Burkina Faso,Res
Willy Caballero,15/16,chelsea,0,0.0,0.0,9,Argentina,GK
Keylor Navas,15/16,paris-saint-germain,0,0.0,0.0,1020,Costa Rica,GK
Sergey Chernik,15/16,bate-borisov,0,0.0,0.0,540,Belarus,GK
Oleg Shatov,15/16,zenit-st-petersburg,2,3.0,5.0,486,Russia,LW
Luís Neto,15/16,zenit-st-petersburg,0,0.0,0.0,403,Portugal,LCB
André André,15/16,fc-porto,2,1.0,6.0,394,Portugal,Sub
Marlos,15/16,shakhtar-donetsk,0,0.0,2.0,443,Brazil,RM
Rami Gershon,15/16,kaa-gent,0,0.0,0.0,90,Israel,Sub
David Alaba,15/16,bayern-munchen,1,1.0,11.0,930,Austria,LB
Mario Götze,15/16,borussia-dortmund,2,0.0,4.0,107,Germany,Sub
Ricardo Rodríguez,15/16,vfl-wolfsburg,1,1.0,4.0,736,Switzerland,LCB
Emre Çolak,15/16,galatasaray,0,0.0,0.0,48,Turkey,CAM
Nacho Fernández,15/16,real-madrid,1,0.0,2.0,358,Spain,Sub
Jan Oblak,15/16,atletico-madrid,0,0.0,0.0,1230,Slovenia,GK
Timm Klose,15/16,vfl-wolfsburg,0,0.0,0.0,102,Switzerland,LCB
Davy Pröpper,15/16,psv-eindhoven,1,0.0,10.0,750,Netherlands,RCM
Koen Casteels,15/16,vfl-wolfsburg,0,0.0,0.0,180,Belgium,Sub
Thibaut Courtois,15/16,real-madrid,0,0.0,0.0,270,Belgium,GK
Kevin De Bruyne,15/16,manchester-city,3,0.0,11.0,711,Belgium,RCM
Maxime Lestienne,15/16,psv-eindhoven,2,2.0,8.0,201,Belgium,Sub
Younès Belhanda,15/16,galatasaray,0,0.0,1.0,31,Morocco,LW
Nicolás Otamendi,15/16,manchester-city,0,0.0,5.0,939,Argentina,LCB
Grzegorz Krychowiak,15/16,lokomotiv-moscow,0,0.0,6.0,540,Poland,Sub
Stefan Savić,15/16,atletico-madrid,0,0.0,1.0,482,Montenegro,RCB
Stefan Savić,15/16,atletico-madrid,0,0.0,1.0,482,Austria,Sub
Pizzi,15/16,sl-benfica,0,0.0,3.0,532,Portugal,CM
Matz Sels,15/16,rsc-anderlecht,0,0.0,0.0,720,Belgium,Sub
Georgi Milanov,15/16,cska-moscow,0,0.0,1.0,215,Bulgaria,Sub
Ismaily,15/16,shakhtar-donetsk,0,0.0,2.0,180,Brazil,LB
Jardel,15/16,sl-benfica,0,0.0,4.0,810,Brazil,Sub
Jardel,15/16,sl-benfica,0,0.0,4.0,810,Portugal,Res
Ivo Pinto,15/16,gnk-dinamo-zagreb,0,0.0,0.0,270,Portugal,RB
Javier Pastore,15/16,roma,0,0.0,0.0,97,Argentina,Sub
Miguel Layún,15/16,fc-porto,1,2.0,4.0,460,Mexico,Sub
Ander Herrera,15/16,paris-saint-germain,0,0.0,3.0,166,Spain,RCM
Maxime Gonalons,15/16,roma,0,1.0,2.0,432,France,RCM
Kevin Kampl,15/16,rb-leipzig,1,2.0,8.0,540,Slovenia,LDM
Koke,15/16,atletico-madrid,0,1.0,10.0,1037,Spain,RM
Koke,15/16,atletico-madrid,0,1.0,10.0,1037,Spain,Res
Alex Sandro,15/16,juventus,0,1.0,2.0,392,Brazil,LB
Antoine Griezmann,15/16,barcelona,7,1.0,31.0,1133,France,RS
Jeffrey Bruma,15/16,fc-schalke-04,0,0.0,4.0,750,Netherlands,RCB
Marc-André ter Stegen,15/16,barcelona,0,0.0,0.0,900,Germany,GK
Shkodran Mustafi,15/16,arsenal,0,0.0,3.0,450,Germany,RCB
Lucas Orbán,15/16,valencia,0,0.0,0.0,90,Argentina,Sub
Phil Jones,15/16,manchester-united,0,0.0,0.0,108,England,Sub
Thorgan Hazard,15/16,borussia-dortmund,0,0.0,2.0,117,Belgium,Sub
Benito Raman,15/16,kaa-gent,0,0.0,0.0,78,Belgium,Sub
Paco Alcácer,15/16,borussia-dortmund,0,1.0,10.0,397,Spain,Sub
Lucas Digne,15/16,barcelona,0,2.0,3.0,720,France,Sub
Samuel Umtiti,15/16,barcelona,0,0.0,4.0,360,France,CB
Giannelli Imbula,15/16,fc-porto,0,0.0,3.0,268,France,Sub
Jürgen Locadia,15/16,psv-eindhoven,1,0.0,7.0,539,Netherlands,Sub
